atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station,yelp_id
21.0,11.0,24.0,10.0,8.0,19.0,26.0,,10.0,1.0,1.0,40.0,3.0,1.0,,,,aVS9DWS7GUcF6oExGmYnlg
18.0,3.0,15.0,17.0,,16.0,10.0,1.0,10.0,,,12.0,,,2.0,,,aqNd1SaHTNGATIOy24sYxQ
13.0,4.0,3.0,11.0,,20.0,3.0,2.0,2.0,,,8.0,,,1.0,,,bgV_tFbmVDKBxZni2my7XA
19.0,7.0,35.0,22.0,2.0,10.0,18.0,1.0,9.0,,6.0,11.0,2.0,1.0,,,,boK3cyDPLmwNUV97doMCNA
2.0,,2.0,,,10.0,2.0,1.0,3.0,,1.0,6.0,,1.0,,,,bqC8cTtPJmSAW6NUVHV9YQ
17.0,3.0,16.0,20.0,,18.0,12.0,1.0,11.0,,,13.0,,,1.0,,,c3V_1Dakp0UspkZayn0AjQ
21.0,15.0,38.0,9.0,1.0,16.0,24.0,,8.0,1.0,7.0,9.0,2.0,,,,,cCAAA6871M0K_EHZidkKmQ
6.0,2.0,7.0,11.0,1.0,6.0,5.0,,3.0,,1.0,15.0,,,1.0,,,ck8Id2EaJ20Alj0N8UMvBQ
18.0,7.0,9.0,26.0,3.0,23.0,2.0,2.0,9.0,1.0,4.0,8.0,1.0,,2.0,,1.0,daDNnPM1VGJzymFw90-CDA
15.0,11.0,9.0,34.0,5.0,6.0,12.0,1.0,14.0,1.0,,17.0,1.0,,1.0,,,djb7jPPMwVOBfCE5K7Ilog
34.0,14.0,45.0,43.0,4.0,18.0,43.0,,10.0,3.0,4.0,38.0,6.0,4.0,,,,dy-XO6rRE1cAMMrpMDQRrw
36.0,23.0,29.0,60.0,3.0,26.0,25.0,,30.0,,4.0,33.0,7.0,1.0,,,1.0,dz2OSto01aMIWkGHXd8lOg
4.0,2.0,1.0,12.0,,20.0,4.0,3.0,3.0,,,5.0,1.0,,,,,eWzMs5B_Eht6i5zF0CrXFg
