,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
48,77008,33055,17990,1392,69,850,6,72,431,9672,94.3%,,24.7%,2.9%,23.5 minutes,37.1%,45.2%,1.2%,4.0%,12.5%
49,77009,38564,8805,2394,64,317,15,48,260,26191,70.2%,,12.6%,5.4%,25.2 minutes,39.0%,40.8%,3.9%,6.1%,10.2%
50,77010,842,279,26,5,20,0,0,7,29,101.4%,,53.9%,,16.7 minutes,25.5%,53.4%,1.1%,3.6%,16.5%
51,77014,34548,2219,13302,34,2854,11,56,320,9888,75.5%,,3.5%,5.3%,30.9 minutes,39.9%,42.7%,4.3%,2.7%,10.5%
52,77015,58221,9150,8978,109,881,13,61,339,34090,63.6%,,3.8%,8.4%,27.1 minutes,38.4%,46.1%,3.9%,4.1%,7.4%
53,77016,28197,524,18928,48,45,2,19,148,7275,74.4%,,4.3%,13.7%,31.7 minutes,40.8%,31.4%,4.5%,10.8%,12.5%
54,77017,33050,3281,907,47,1353,1,32,114,26826,58.9%,,2.7%,5.9%,28.8 minutes,38.4%,45.2%,3.0%,4.7%,8.7%
55,77019,21369,12959,1826,41,1060,5,47,297,2709,97.9%,,34.5%,1.8%,19.2 minutes,44.7%,39.8%,0.7%,4.2%,10.6%
56,77021,26752,1742,19472,43,357,10,32,257,4129,82.9%,,11.0%,9.5%,25.4 minutes,47.4%,30.4%,3.8%,7.7%,10.7%
57,77024,38410,26363,534,54,4087,17,72,525,3123,99.1%,,36.5%,2.2%,21.8 minutes,22.2%,61.9%,0.7%,6.3%,8.8%
58,77025,28506,13357,3051,50,3926,19,57,534,5143,94.9%,,39.8%,3.5%,24.6 minutes,34.7%,48.6%,1.3%,4.6%,10.9%
59,77027,15720,10534,685,24,1062,11,20,190,1805,100.3%,,33.8%,3.2%,19.2 minutes,45.3%,40.0%,0.8%,2.7%,11.2%
60,77028,14664,370,12503,22,19,3,26,119,3746,70.8%,,2.8%,10.4%,28.7 minutes,39.1%,33.4%,5.0%,9.2%,13.3%
61,77030,10888,5991,628,10,2295,4,31,256,1043,100.5%,,53.4%,2.7%,20.9 minutes,40.5%,49.5%,1.2%,3.3%,5.6%
62,77031,18442,2509,4797,13,944,5,32,188,7274,70.6%,,6.8%,6.7%,27.5 minutes,39.8%,42.6%,3.2%,5.0%,9.3%
63,77032,13668,1536,5244,13,112,11,19,77,5745,60.6%,,2.8%,9.5%,33.6 minutes,44.2%,36.2%,4.6%,5.2%,9.7%
64,77034,39985,5634,3687,54,1168,20,32,243,22840,71.0%,,2.9%,6.2%,28.7 minutes,34.6%,47.5%,4.0%,4.0%,9.9%
65,77036,78885,6506,11789,75,10169,37,138,654,42601,62.1%,,4.4%,6.6%,28.8 minutes,41.6%,42.3%,4.7%,3.9%,7.6%
